Label,Score,Status,x,y,r,x0,y0,r0,weight,px,py,id,SEVEN,FOUR,TWO,FIVET,FOURT,THREET,TWOT
ROBERTA-LARGE,0.406963431,Correct,606.697606,324.7569747,3.490744782,600,320.2397473,4.441780586,0,606.729835,324.784609,67,1,1,1,4,2,2,1
BERT-BASE,0.41619568,Correct,955.56086,319.294972,3.524563367,1000,315.2543328,4.49717408,0,955.534627,319.2913241,138,1,1,1,4,2,2,1
BERT-LARGE,0.41619568,Correct,742.616227,289.1354939,3.524563367,800,315.2543328,4.49717408,0,742.6408973,289.1176898,138,1,1,1,4,2,2,1
GLOVE-CNN,0.41619568,Correct,169.3314971,290.0272707,3.524563367,200,315.2543328,4.49717408,0,169.3993316,290.0283545,138,1,1,1,4,2,2,1
GLOVE-LSTM,0.41619568,Correct,357.6683305,330.1911228,3.524563367,400,315.2543328,4.49717408,0,357.6980424,330.1277257,138,1,1,1,4,2,2,1
ROBERTA-LARGE,0.41619568,Correct,631.3366523,332.7367471,3.524563367,600,315.2543328,4.49717408,0,631.3348898,332.763669,138,1,1,1,4,2,2,1
BERT-BASE,0.418283686,Correct,1012.268292,323.8672708,3.532211926,1000,314.1268096,4.509702116,0,1012.262278,323.8607318,19,1,1,1,4,2,2,1
BERT-LARGE,0.418283686,Correct,803.9025986,317.3820885,3.532211926,800,314.1268096,4.509702116,0,803.9170887,317.3593314,19,1,1,1,4,2,2,1
GLOVE-CNN,0.418283686,Correct,203.9201107,318.5720478,3.532211926,200,314.1268096,4.509702116,0,203.9099287,318.5854309,19,1,1,1,4,2,2,1
GLOVE-LSTM,0.418283686,Correct,347.5375987,320.4381464,3.532211926,400,314.1268096,4.509702116,0,347.5739845,320.4058366,19,1,1,1,4,2,2,1
ROBERTA-LARGE,0.418283686,Correct,624.8077489,316.363699,3.532211926,600,314.1268096,4.509702116,0,624.8004476,316.3327547,19,1,1,1,4,2,2,1
BERT-BASE,0.418505655,Correct,963.2135173,330.2986105,3.533025019,1000,314.0069463,4.51103393,0,963.1859615,330.3740856,42,1,1,1,4,2,2,1
BERT-LARGE,0.418505655,Correct,831.8577084,317.4359822,3.533025019,800,314.0069463,4.51103393,0,831.8350495,317.4518889,42,1,1,1,4,2,2,1
GLOVE-CNN,0.418505655,Correct,193.7411829,317.9015725,3.533025019,200,314.0069463,4.51103393,0,193.7587768,317.8717159,42,1,1,1,4,2,2,1
GLOVE-LSTM,0.418505655,Correct,338.5225015,315.9923933,3.533025019,400,314.0069463,4.51103393,0,338.5908871,315.9476038,42,1,1,1,4,2,2,1
ROBERTA-LARGE,0.418505655,Correct,545.5624311,317.4040918,3.533025019,600,314.0069463,4.51103393,0,545.5601041,317.4011466,42,1,1,1,4,2,2,1
BERT-BASE,0.418966416,Incorrect,1027.540644,320.9162163,3.534712829,1000,313.7581354,4.513798496,0,1027.567383,320.9055503,93,1,1,1,4,2,2,1
BERT-LARGE,0.418966416,Incorrect,841.2448562,321.0498317,3.534712829,800,313.7581354,4.513798496,0,841.2391784,321.0321468,93,1,1,1,4,2,2,1
GLOVE-CNN,0.418966416,Incorrect,224.8236613,319.9587696,3.534712829,200,313.7581354,4.513798496,0,224.7974065,319.960433,93,2,1,1,4,2,2,1
GLOVE-LSTM,0.418966416,Incorrect,357.6010706,320.1363503,3.534712829,400,313.7581354,4.513798496,0,357.5794733,320.1021414,93,2,1,1,4,2,2,1
ROBERTA-LARGE,0.418966416,Incorrect,580.9265354,318.1965195,3.534712829,600,313.7581354,4.513798496,0,580.951898,318.182446,93,1,1,1,4,2,2,1
BERT-BASE,0.420908602,Correct,976.9346015,317.6579034,3.541827237,1000,312.7093549,4.525451612,0,976.9590918,317.6791474,16,2,1,1,4,2,2,1
BERT-LARGE,0.420908602,Correct,806.1972907,327.1903035,3.541827237,800,312.7093549,4.525451612,0,806.172464,327.1736456,16,2,1,1,4,2,2,1
GLOVE-CNN,0.420908602,Correct,183.5164319,317.3540207,3.541827237,200,312.7093549,4.525451612,0,183.4845258,317.3798404,16,2,1,1,4,2,2,1
GLOVE-LSTM,0.420908602,Correct,423.2075579,318.0479314,3.541827237,400,312.7093549,4.525451612,0,423.2459658,317.9371744,16,2,1,1,4,2,2,1
ROBERTA-LARGE,0.420908602,Correct,563.3599504,317.6125336,3.541827237,600,312.7093549,4.525451612,0,563.3602602,317.6134021,16,2,1,1,4,2,2,1
BERT-BASE,0.423266564,Correct,1033.723504,312.9485911,3.55046467,1000,311.4360554,4.539599384,0,1033.721969,312.9451176,44,2,1,1,4,2,2,1
BERT-LARGE,0.423266564,Correct,777.2018721,317.5054462,3.55046467,800,311.4360554,4.539599384,0,777.2417193,317.4882961,44,2,1,1,4,2,2,1
GLOVE-CNN,0.423266564,Correct,163.1064476,316.5388629,3.55046467,200,311.4360554,4.539599384,0,163.0855831,316.5614346,44,2,1,1,4,2,2,1
GLOVE-LSTM,0.423266564,Correct,346.9013225,310.1842255,3.55046467,400,311.4360554,4.539599384,0,346.9503323,310.2209004,44,2,1,1,4,2,2,1
ROBERTA-LARGE,0.423266564,Correct,634.1051855,312.4656228,3.55046467,600,311.4360554,4.539599384,0,634.1030772,312.4581673,44,2,1,1,4,2,2,1
