id,Label,Score,Status
50,ROBERTA-LARGE,0.494541901,Correct
51,ROBERTA-LARGE,0.5463803,Correct
52,ROBERTA-LARGE,0.494736219,Correct
53,ROBERTA-LARGE,0.406849718,Correct
54,ROBERTA-LARGE,0.564215601,Correct
55,ROBERTA-LARGE,0.550602199,Correct
56,ROBERTA-LARGE,0.399033664,Correct
57,ROBERTA-LARGE,0.516721956,Correct
58,ROBERTA-LARGE,0.555584953,Incorrect
59,ROBERTA-LARGE,0.455765247,Correct
60,ROBERTA-LARGE,0.501853297,Correct
61,ROBERTA-LARGE,0.429174973,Correct
62,ROBERTA-LARGE,0.522576596,Correct
63,ROBERTA-LARGE,0.528432421,Correct
64,ROBERTA-LARGE,0.489166156,Correct
65,ROBERTA-LARGE,0.459885799,Correct
66,ROBERTA-LARGE,0.40520248,Incorrect
67,ROBERTA-LARGE,0.406963431,Correct
68,ROBERTA-LARGE,0.472865053,Correct
69,ROBERTA-LARGE,0.435560029,Correct
70,ROBERTA-LARGE,0.426796328,Correct
71,ROBERTA-LARGE,0.458942963,Correct
72,ROBERTA-LARGE,0.48976547,Correct
73,ROBERTA-LARGE,0.476095869,Correct
74,ROBERTA-LARGE,0.487537159,Correct
75,ROBERTA-LARGE,0.454668399,Correct
76,ROBERTA-LARGE,0.475857062,Correct
77,ROBERTA-LARGE,0.521191437,Correct
78,ROBERTA-LARGE,0.47322162,Correct
79,ROBERTA-LARGE,0.552194165,Correct
80,ROBERTA-LARGE,0.532705277,Correct
81,ROBERTA-LARGE,0.591243364,Correct
82,ROBERTA-LARGE,0.483107139,Incorrect
83,ROBERTA-LARGE,0.493329655,Correct
84,ROBERTA-LARGE,0.540018048,Correct
85,ROBERTA-LARGE,0.377053003,Correct
86,ROBERTA-LARGE,0.488083212,Correct
87,ROBERTA-LARGE,0.564509299,Correct
88,ROBERTA-LARGE,0.464185705,Correct
89,ROBERTA-LARGE,0.527080114,Correct
90,ROBERTA-LARGE,0.482662337,Correct
91,ROBERTA-LARGE,0.452416826,Correct
92,ROBERTA-LARGE,0.450433464,Correct
93,ROBERTA-LARGE,0.418966416,Incorrect
94,ROBERTA-LARGE,0.488988585,Incorrect
95,ROBERTA-LARGE,0.544770043,Correct
96,ROBERTA-LARGE,0.471826878,Incorrect
97,ROBERTA-LARGE,0.488946479,Correct
98,ROBERTA-LARGE,0.54095122,Correct
99,ROBERTA-LARGE,0.551682968,Correct
100,ROBERTA-LARGE,0.46835886,Correct
101,ROBERTA-LARGE,0.498426789,Correct
102,ROBERTA-LARGE,0.520920611,Correct
103,ROBERTA-LARGE,0.516681888,Correct
104,ROBERTA-LARGE,0.551151768,Correct
105,ROBERTA-LARGE,0.555828193,Correct
106,ROBERTA-LARGE,0.504718678,Correct
107,ROBERTA-LARGE,0.51697392,Correct
108,ROBERTA-LARGE,0.476345868,Correct
109,ROBERTA-LARGE,0.359722262,Incorrect
110,ROBERTA-LARGE,0.460647575,Correct
111,ROBERTA-LARGE,0.40102738,Correct
112,ROBERTA-LARGE,0.340461022,Correct
113,ROBERTA-LARGE,0.404416499,Incorrect
114,ROBERTA-LARGE,0.526971318,Correct
115,ROBERTA-LARGE,0.500524632,Correct
116,ROBERTA-LARGE,0.549396498,Incorrect
117,ROBERTA-LARGE,0.450649097,Correct
118,ROBERTA-LARGE,0.503486344,Correct
119,ROBERTA-LARGE,0.491410289,Incorrect
120,ROBERTA-LARGE,0.443607716,Incorrect
121,ROBERTA-LARGE,0.489673899,Correct
122,ROBERTA-LARGE,0.525983324,Incorrect
123,ROBERTA-LARGE,0.506743496,Correct
124,ROBERTA-LARGE,0.387874668,Correct
125,ROBERTA-LARGE,0.532752077,Correct
126,ROBERTA-LARGE,0.52279036,Correct
127,ROBERTA-LARGE,0.555542351,Correct
128,ROBERTA-LARGE,0.582686188,Correct
129,ROBERTA-LARGE,0.500145541,Correct
130,ROBERTA-LARGE,0.480250564,Correct
131,ROBERTA-LARGE,0.481361041,Correct
132,ROBERTA-LARGE,0.476625661,Correct
133,ROBERTA-LARGE,0.554079646,Correct
134,ROBERTA-LARGE,0.623656242,Correct
135,ROBERTA-LARGE,0.498666117,Correct
136,ROBERTA-LARGE,0.570623016,Correct
137,ROBERTA-LARGE,0.473672521,Incorrect
138,ROBERTA-LARGE,0.41619568,Correct
139,ROBERTA-LARGE,0.642839038,Correct
140,ROBERTA-LARGE,0.477061527,Incorrect
141,ROBERTA-LARGE,0.507804071,Correct
142,ROBERTA-LARGE,0.584668069,Correct
143,ROBERTA-LARGE,0.534940027,Correct
144,ROBERTA-LARGE,0.601477174,Correct
145,ROBERTA-LARGE,0.450054336,Correct
146,ROBERTA-LARGE,0.585236359,Correct
147,ROBERTA-LARGE,0.539572979,Correct
148,ROBERTA-LARGE,0.470315843,Incorrect
149,ROBERTA-LARGE,0.438856097,Correct
150,ROBERTA-LARGE,0.519719435,Correct
1,GLOVE-LSTM,0.433368153,Correct
2,GLOVE-LSTM,0.36983425,Incorrect
3,GLOVE-LSTM,0.473970798,Correct
4,GLOVE-LSTM,0.520892057,Correct
5,GLOVE-LSTM,0.278455003,Correct
6,GLOVE-LSTM,0.514732104,Correct
7,GLOVE-LSTM,0.564790087,Correct
8,GLOVE-LSTM,0.495102538,Correct
9,GLOVE-LSTM,0.4919791,Correct
