Label,Score,Status,x,y,r,x0,y0,r0,px,py,id,SEVEN,FOUR,TWO,FIVET,FOURT,THREET,TWOT
BERT-BASE,0.86360848,Correct,986.8246147,113.8388246,5.163477938,1000,113.6596,7.18165088,986.8249431,113.8379822,22,2,1,1,4,4,3,2
BERT-BASE,0.86396897,Correct,1015.792389,116.5915795,5.164798447,1000,113.3591917,7.18381382,1015.783438,116.577278,128,2,1,1,4,4,3,2
BERT-BASE,0.86549288,Correct,973.640644,111.8360868,5.17038067,1000,112.0892667,7.19295728,973.6430355,111.8361258,84,2,1,1,4,4,3,2
BERT-BASE,0.86739141,Correct,1000.116204,111.7875139,5.177335162,1000,110.5071583,7.20434846,1000.100834,111.7720535,38,2,1,1,4,4,3,2
GLOVE-LSTM,0.86909324,Correct,367.1049849,109.8578856,5.183569123,400,109.0889667,7.21455944,367.1011575,109.8616138,20,2,1,1,4,4,3,2
GLOVE-CNN,0.87464589,Correct,191.0292303,104.4613016,5.203908994,200,104.4617583,7.24787534,191.0260217,104.4605625,45,2,1,1,4,4,3,2
BERT-BASE,0.87479532,Correct,1011.067034,104.0944457,5.20445637,1000,104.3372333,7.24877192,1011.050973,104.0833682,106,2,1,1,4,4,3,2
GLOVE-LSTM,0.87554932,Correct,379.8788263,105.8501513,5.207218342,400,103.7089,7.25329592,379.8725214,105.8530337,142,2,1,1,4,4,3,2
BERT-BASE,0.87729388,Correct,998.9089201,98.46244444,5.213608827,1000,102.2551,7.26376328,998.8941494,98.44696091,114,2,1,1,4,4,3,2
GLOVE-LSTM,0.87777108,Correct,409.8539593,107.3498302,5.215356855,400,101.8574333,7.26662648,409.8508967,107.3549779,118,2,1,1,4,4,3,2
BERT-BASE,0.87805194,Correct,985.0137703,100.5862577,5.216385671,1000,101.6233833,7.26831164,985.0212407,100.5860681,111,2,1,1,4,4,3,2
BERT-BASE,0.87889433,Correct,1028.552532,102.9450315,5.219471424,1000,100.9213917,7.27336598,1028.547974,102.9448591,120,2,1,1,4,4,3,2
BERT-BASE,0.88041526,Correct,1019.130357,93.35453809,5.225042732,1000,99.65395,7.28249156,1019.127284,93.35579125,3,2,1,1,4,4,3,2
GLOVE-LSTM,0.88427562,Correct,416.7069901,95.7712245,5.239183588,400,96.43698333,7.30565372,416.7031077,95.77839566,108,2,1,1,4,4,3,2
GLOVE-LSTM,0.88473934,Correct,389.742883,96.71078354,5.240882238,400,96.05055,7.30843604,389.7436863,96.72452865,109,2,1,1,4,4,3,2
GLOVE-LSTM,0.88910037,Correct,430.1997686,95.61293871,5.256857095,400,92.41635833,7.33460222,430.1939699,95.62420299,49,2,1,1,4,4,3,2
GLOVE-CNN,0.8903051,Incorrect,208.3340464,92.58981971,5.261270133,200,91.41241667,7.3418306,208.333437,92.59045943,87,2,1,1,4,4,3,2
GLOVE-LSTM,0.8914991,Incorrect,403.2044946,95.63125097,5.265643865,400,90.41741667,7.3489946,403.2025203,95.63681952,106,2,1,1,4,4,3,2
GLOVE-LSTM,0.89237076,Correct,371.1647381,95.57875224,5.268836837,400,89.69103333,7.35422456,371.1677053,95.5751021,58,2,1,1,4,4,3,2
BERT-LARGE,0.89242142,Correct,819.6912535,92.6513895,5.269022409,800,89.64881667,7.35452852,819.6723877,92.66386738,71,2,1,1,4,4,3,2
BERT-BASE,0.89246225,Incorrect,976.7369999,89.83937888,5.269171973,1000,89.61479167,7.3547735,976.7258175,89.84167571,116,2,1,1,4,4,3,2
GLOVE-CNN,0.89253461,Correct,177.3126,89.35795343,5.269437035,200,89.55449167,7.35520766,177.3190382,89.35826722,134,2,1,1,4,4,3,2
GLOVE-CNN,0.89394009,Correct,190.7575112,90.98643555,5.274585438,200,88.38325833,7.36364054,190.7615894,90.98773832,23,2,1,1,4,4,3,2
GLOVE-CNN,0.89743006,Correct,220.7311849,87.12282397,5.287369522,200,85.47495,7.38458036,220.7278021,87.12233986,70,2,1,1,4,4,3,2
BERT-LARGE,0.89827496,Correct,778.9474024,93.48449595,5.290464469,800,84.77086667,7.38964976,778.9687424,93.48300885,82,2,1,1,4,4,3,2
ROBERTA-LARGE,0.89855504,Correct,608.6830605,92.23995431,5.291490428,600,84.53746667,7.39133024,608.6468479,92.23881755,34,2,1,1,4,4,3,2
ROBERTA-LARGE,0.89868712,Incorrect,575.807756,87.8475453,5.291974249,600,84.4274,7.39212272,575.8615521,87.85771315,66,2,1,1,4,4,3,2
GLOVE-CNN,0.89904493,Correct,200.490762,81.53387319,5.29328494,200,84.129225,7.39426958,200.4922345,81.5355039,138,2,1,1,4,4,3,2
BERT-LARGE,0.9003818,Incorrect,791.6760229,88.72702456,5.298182019,800,83.01516667,7.4022908,791.6906999,88.71373971,113,2,1,1,5,4,3,2
GLOVE-LSTM,0.90055931,Correct,387.2674828,83.39927488,5.298832255,400,82.86724167,7.40335586,387.2880147,83.41149025,52,2,1,1,5,4,3,2
GLOVE-LSTM,0.90447915,Incorrect,360.0888898,82.78491903,5.313190992,400,79.60070833,7.4268749,360.1126528,82.78638072,34,2,1,1,5,4,3,2
GLOVE-LSTM,0.90470809,Correct,400.8306642,82.2698528,5.314029621,400,79.409925,7.42824854,400.8482179,82.27384921,149,2,1,1,5,4,3,2
GLOVE-LSTM,0.90509951,Correct,373.7021288,82.23623039,5.315463428,400,79.08374167,7.43059706,373.7255547,82.23900326,97,2,1,1,5,4,3,2
BERT-BASE,0.90541357,Correct,990.2249114,88.08675561,5.316613859,1000,78.822025,7.43248142,990.2045381,88.07868486,20,2,1,1,5,4,3,2
GLOVE-CNN,0.90562922,Incorrect,212.9178095,75.98545345,5.317403805,200,78.64231667,7.43377532,212.9163831,75.98617356,96,2,1,1,5,4,3,2
BERT-LARGE,0.90667063,Correct,781.0013103,80.03675466,5.321218587,800,77.774475,7.44002378,781.0270302,80.03809792,7,2,1,1,5,4,3,2
BERT-BASE,0.90773696,Correct,1011.245618,77.82365405,5.325124652,1000,76.88586667,7.44642176,1011.223967,77.83132455,83,2,1,1,5,4,3,2
GLOVE-LSTM,0.908934,Incorrect,414.4696523,82.34663028,5.329509521,400,75.88833333,7.453604,414.4843528,82.36001425,71,2,1,1,5,4,3,2
ROBERTA-LARGE,0.90930313,Incorrect,602.041499,80.36774535,5.330861678,600,75.580725,7.45581878,602.0791119,80.32811099,109,2,1,1,5,4,3,2
BERT-BASE,0.90951365,Incorrect,970.1081192,77.65705279,5.331632832,1000,75.40529167,7.4570819,970.0886266,77.65769111,93,2,1,1,5,4,3,2
BERT-BASE,0.90987855,Correct,983.7111283,76.15712328,5.332969495,1000,75.10120833,7.4592713,983.6854974,76.14845019,112,2,1,1,5,4,3,2
BERT-LARGE,0.91046947,Correct,808.3181502,85.20613592,5.33513409,800,74.608775,7.46281682,808.3150698,85.19164891,103,2,1,1,5,4,3,2
BERT-BASE,0.91239989,Correct,1024.910716,77.7642058,5.342205397,1000,73.00009167,7.47439934,1024.88623,77.75342789,141,2,1,1,5,4,3,2
GLOVE-LSTM,0.91443449,Correct,380.1009905,70.17877021,5.349658326,400,71.30459167,7.48660694,380.1261704,70.18071412,105,2,1,1,5,4,3,2
ROBERTA-LARGE,0.91470265,Correct,588.7341085,83.54096733,5.350640621,600,71.081125,7.4882159,588.7758455,83.49088693,97,2,1,1,5,4,3,2
BERT-BASE,0.91619927,Correct,997.6183109,76.60955896,5.356122878,1000,69.83394167,7.49719562,997.6005974,76.60371312,40,2,1,1,5,4,3,2
GLOVE-LSTM,0.91701704,Correct,366.412132,70.66268103,5.359118446,400,69.15246667,7.50210224,366.4384827,70.66789665,43,2,1,1,5,4,3,2
BERT-BASE,0.91704851,Correct,1039.00513,77.61704312,5.359233723,1000,69.12624167,7.50229106,1038.978058,77.60830987,65,2,1,1,5,4,3,2
GLOVE-LSTM,0.91904539,Correct,461.1842683,80.38263026,5.36654848,400,67.462175,7.51427234,461.1313104,80.3906938,111,2,1,1,5,4,3,2
BERT-BASE,0.91916794,Correct,962.8736512,66.02476206,5.366997392,1000,67.36005,7.51500764,962.8604634,66.02399843,138,2,1,1,5,4,3,2
GLOVE-LSTM,0.92036146,Incorrect,393.8127167,70.5188672,5.371369366,400,66.36545,7.52216876,393.8348832,70.52307339,102,2,1,1,5,4,3,2
BERT-BASE,0.92044234,Correct,1018.837001,65.47691807,5.371665637,1000,66.29805,7.52265404,1018.812413,65.46866848,32,2,1,1,5,4,3,2
GLOVE-LSTM,0.92053652,Correct,436.5857403,70.54388522,5.372010627,400,66.21956667,7.52321912,436.5721845,70.5335011,57,2,1,1,5,4,3,2
BERT-BASE,0.92176437,Correct,991.0375287,64.56976519,5.376508356,1000,65.19635833,7.53058622,991.0161334,64.5647524,34,2,1,1,5,4,3,2
ROBERTA-LARGE,0.92255598,Incorrect,565.2419127,73.86139227,5.379408096,600,64.53668333,7.53533588,565.3018568,73.80003082,5,2,1,1,5,4,3,2
